global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	aroma_motion_01	aroma_motion_02	aroma_motion_04	aroma_motion_07	aroma_motion_08	aroma_motion_09	aroma_motion_12	aroma_motion_13	aroma_motion_14	aroma_motion_15	aroma_motion_16	aroma_motion_19	aroma_motion_20	aroma_motion_23	aroma_motion_24	aroma_motion_28
57160.45647587351	n/a	n/a	3267317784.5302296	79464.14471255275	n/a	n/a	6314550294.897525	57127.59503154575	n/a	3263562114.0882907	n/a	62593.50113826603	53038.36768988843	n/a	n/a	n/a	n/a	0.096625084	-0.0559854345	0.0219077545	-0.0345324038	0.0354751098	-0.1323218873	-0.0392172621	0.0324332202	-0.0822499931	0.113265893	-0.1013766302	0.1186287907	0.0236094756	-0.0665543129	0.1107615697	-0.0565961176	0.0218001018	-0.0089611539	-0.0535747023	0.0536978357	-0.0328955867	0.1277191565	-0.0704741088	0.1467135445	0.0026314961	-0.0079152015	0.0241176472	-0.059486849	0.2033835149	-0.0812011399	0.2235227324	-0.0192765602	0.0663853321	-0.0354470089	0.1163259343	-0.0013758679	0.0993194743	-0.0916347652	0.2039695049	-0.0538863312	0.0274533271	-0.0558111667	-0.0086912693	0.0741958101	0.0555677083	-0.1249800351	0.001422229	-0.0085517816	0.0043328487	-0.0438257198	0.0419434591	-0.112199455	0.0278417926	-0.0571973368	0.1475062337	-0.0636921826	0.0104219591	-0.0037072615	0.1146535228	-0.0052103161	0.1095294186	-0.0142586362	0.0969009997	-0.1431082019	0.2544959303	-0.0023437574	0.1086535889	-0.1046640765	0.05684695	-0.039489446	0.0733992331	-0.076412339	0.0346145694	0.0482730538	-0.0671962777	0.1352100825	0.043476104	-0.0544318027	0.1067554742	-0.261757721	0.0111057529	-0.0445788948	-0.003501845	0.0591451048	-0.0782211611	0.1418120309	-0.031492671	0.0747270443	-0.1312438972	0.1533056303	-0.0927634727	0.1324234211	-0.0155960547	0.0208955683	0.0531656429	-0.0293621346	0.01073982	-0.0062684751	0.0983512589	-0.0284860241	0.1217078847	0.1216831682	0.1216419777	-0.0424875	n/a	n/a	0.0018051876562499	-0.114885	n/a	n/a	0.013198563225	-0.034482	n/a	n/a	0.0011890083239999	0.00140408	n/a	1.9714406464e-06	n/a	-0.00175386	n/a	n/a	3.0760248996000005e-06	0.000443157	n/a	n/a	1.96388126649e-07	0.0	0.0	0.0	-1.812820701	-0.820418791	0.8962537135	0.5146452721	0.6701534712	1.103560563	0.5658994524	-1.240370783	0.3358293366	0.5747396807	0.001772176908	0.3187646391	1.372022375	-0.9779971131	-0.95919895	-1.126142111
57280.44475882344	119.98828294993292	14397.18804527316	3281049351.768624	79574.00614369067	109.8614311379206	12069.534051672068	6332022453.756121	57131.08483463131	3.4898030855547404	3263960854.3818398	12.178725575947386	62585.63049792005	53786.240009109926	1.071154	22.65699	0.1056057	0.0566863	0.052186785	0.0126502699	0.0460978845	0.0434227241	-0.0010488223	-0.0345195601	-0.0162013488	0.0189901305	0.0325194557	-0.1473947625	-0.2214568534	-0.0877536705	0.3333281609	0.0953214575	-0.0007634366	-0.0063476826	-0.0442767459	-0.1644675904	-0.0022470195	-0.0079288975	0.0746433326	0.0234562889	0.0051697948	0.0412009459	-0.057805893	-0.0138140244	0.0065228175	-0.0276995861	-0.0203851575	0.1082030456	0.056155913	-0.0413444711	0.0970218765	-0.2124280161	0.130572489	-0.0508990147	0.0750185196	-0.0637163825	-0.1063305842	0.081807823	0.2306619636	-0.0874994902	-0.1653577051	-0.0465284229	-0.0008904769	-0.0411036957	0.0397806784	-0.0434550579	0.0151428185	0.109231681	-0.0061101671	0.0597118054	0.0002156473	-0.1802378973	0.1890356997	-0.1832454724	-0.0413237372	0.0563320057	-0.0373703034	-0.0363243748	0.0303236678	0.0694169457	0.0273916845	-0.0262813238	0.1227871791	0.0095617985	-0.036679477	-0.0360354413	-0.1931300177	0.1774211827	0.1563632999	-0.114612735	0.1286280027	-0.0537039861	0.0525805387	0.0637829948	0.0309248363	-0.0287711295	0.0758855275	-0.1673510147	0.0183935354	-0.0188912216	0.0706881783	0.0267053296	-0.2032140238	0.1019888567	-0.0597505691	0.0026020471	-0.066105355	0.1854061988	-0.0535644787	0.1282448793	-0.1028688984	0.0489267247	0.0626303316	-0.1132098999	-0.073240661	0.0435237749	-0.0145474439	0.023359437	0.1216419777	0.1214196295	0.1210493502	-0.0158278	0.0266596999999999	0.0007107396040899	0.0002505192528399	-0.0698617	0.0450233	0.00202709754289	0.0048806571268899	-0.0485928	-0.0141108	0.00019911467664	0.00236126021184	0.00108258	-0.0003214999999999	1.1719794564000005e-06	1.0336224999999999e-07	-0.00175386	0.0	0.0	3.0760248996000005e-06	0.000517895	7.473799999999997e-05	5.585768643999996e-09	2.68215231025e-07	0.0	0.0	0.0	-1.692444386	-0.5024661696	0.5794766176	0.6641434072	-0.3032034734	0.1474513303	0.8170627269	-0.4117403588	1.332120907	-0.4971541543	-0.4358801941	0.05439419714	-0.957275507	0.979819628	-0.6990440341	-0.3300814399
57406.43163393446	125.98687511101888	15872.692700239471	3295498392.941591	79197.32657156514	-376.679572125533	141887.50005667462	6272216536.0831375	57122.649601981466	-8.435232649841055	3262997097.550753	71.15314985694454	62554.659875646816	54576.97029919894	1.087208	22.996576	0.1134550999999999	0.0516961	-0.0320553335	0.0537596785	0.0041374825	0.086860999	-0.0453166248	-0.0009924983	-0.0587393598	0.0214223346	0.065963934	-0.081008427	-0.0303778892	0.0874900817	-0.0053537069	-0.0489106325	-0.0879556377	-0.0337101827	0.0339491017	-0.0591059865	-0.0502974734	-0.1011675442	0.0191827479	0.0272436208	0.1021653633	0.0285815686	0.0158806943	0.0063675039	0.0582848526	-0.0853581406	0.0427844396	-0.0174986182	-0.1294864985	-0.0493361016	0.1397929277	-0.0636682703	-0.2335519236	-0.0329929684	-0.0364113101	-0.0089333291	0.0551082208	0.0388653331	0.0316202571	-0.083286391	-0.0679254368	0.0459894601	-0.1733105095	0.0242998801	0.0509388927	-0.0897228044	0.0004480304	-0.0306635832	-0.0636168133	0.0570707939	-0.0039690871	-0.0613609208	-0.0162540491	-0.1085465903	-0.0534491772	-0.0720886386	0.1189428641	-0.0391337511	-0.1485891831	0.0599621296	0.0064180371	-0.027604855	0.0623936168	0.0547213585	-0.0328596795	-0.069197474	0.0961431453	-0.0035871192	-0.0024644129	0.1488221348	-0.0404383516	0.0568495553	-0.0035039893	0.1437445683	0.0076027959	-0.0357715368	0.0706496413	-0.1157520899	0.1278487073	-0.0903380008	0.1020933924	-0.036590081	-0.1178550743	0.1094192609	-0.1105521424	0.0257453226	-0.0260794822	0.1462574323	-0.0816732233	0.1001819701	0.0253331523	-0.0361163065	-0.0602771317	-0.0118101763	-0.0616754484	0.1057978594	-0.0721668116	0.0804796043	0.1215101995	0.120893123	0.1198669825	-0.0424824	-0.0266545999999999	0.0007104677011599	0.0018047543097599	-0.0487167	0.0211449999999999	0.0004471110249999	0.00237331685889	-0.0674964	-0.0189036	0.0003573460929599	0.00455576401296	0.00135311	0.0002705299999999	1.8309066721e-06	7.318648089999998e-08	-0.00149184	0.00026202	6.86544804000001e-08	2.2255865856e-06	0.000115407	-0.000402488	1.61996590144e-07	1.3318775649e-08	0.0	0.0	0.0	-1.690567194	-0.5618131269	0.2114694081	1.631652393	0.4742682795	1.336143727	0.678650256	1.047444088	0.334376519	-1.122217243	0.2398920978	0.02061394027	0.4795925663	0.3501780394	-0.5398550015	0.5567592797
57375.65655529528	-30.77507863917708	947.1054652475336	3291965965.1511984	79032.59720299314	-164.72936857199238	27135.76487012731	6246151420.650559	57112.79130520505	-9.858296776415957	3261870930.671905	97.1860153318932	62515.85002156047	54115.11183828678	0.960044	20.306797	0.1207731699999999	0.0631167	-0.0130249671	0.0655594597	-0.033049456	0.1177174169	0.0070387284	-0.0298349129	-0.0543078795	0.0014469581	0.0400080158	-0.1373769201	-0.0139617119	0.1130437203	-0.0779763231	0.0250689473	-0.0934506464	-0.064955838	0.0099066852	-0.0524726136	0.0299192028	-0.1763521042	-0.0873955691	-0.0332605129	0.033336966	0.0803595932	0.0541744363	0.0752758761	-0.0860055416	-0.0103650184	-0.0292035578	0.0497607542	0.041208514	-0.0407920946	0.0029604509	0.0960100242	0.0555797374	-0.0757839739	-0.0449380161	-0.1053965916	-0.152293566	0.0311226146	0.0591692772	0.1262336739	0.0248009711	-0.1659261235	-0.0636237035	-0.0693198329	0.0246147669	-0.1359018082	-0.0301493013	0.0335291061	-0.0209649661	0.0223329902	-0.0679760328	0.0462755034	-0.0811422828	-0.0924579743	-0.0444557285	0.0399549996	0.1003734629	-0.0715466961	-0.0555643385	0.050561229	0.0153981956	-0.0470167881	-0.0075829391	0.0497132009	-0.0505209857	-0.0790611103	0.1289144421	0.0368011262	-0.0248487625	-0.0585382362	0.0141501124	-0.0051102661	-0.2137079034	-0.0305167254	0.0262140501	-0.0301127438	0.0556128674	-0.0970209787	0.0921870246	-0.0096493581	0.1005016031	-0.060675013	-0.0514914221	0.1290837204	-0.0617738279	-0.0593087841	0.0491449677	0.0752426828	0.0354586697	-0.0338884659	-0.0452128957	-0.0584579794	-0.0068726642	-0.0683942891	0.0166302451	-0.0034572292	-0.0506417373	-0.0789341863	0.1213126213	0.1201047889	0.1181006348	-0.00936593	0.0331164699999999	0.0010967005852608	8.772064476489999e-05	-0.0014002	0.0473165	0.00223885117225	1.96056004e-06	-0.0430407	0.0244556999999999	0.0005980812624899	0.00185250185649	0.00165836	0.0003052499999999	2.7501578896e-06	9.317756249999999e-08	-0.00150428	-1.2440000000000064e-05	1.547536000000016e-10	2.2628583184e-06	0.000115407	0.0	0.0	1.3318775649e-08	0.0	0.0	0.0	-1.71323871	-0.4719004114	1.076780319	2.53126674	-0.4497140396	0.6909790136	0.4607488511	1.177221205	-0.1889679848	-1.016517911	0.1089031773	-0.593067459	0.07526589642	-0.5067602173	-0.4930909112	0.6671433002
57363.3834955787	-12.273059716579157	150.62799480671802	3290557766.060831	79266.54686263845	233.94965964531	54732.4432481564	6283185451.526858	57106.8430352918	-5.948269913249533	3261191521.457456	35.3819149608696	62490.29101245434	54082.13258851249	0.866801	18.334532	0.11525807	0.0615228	-0.0184807378	0.0907879267	-0.0192725024	0.0883887838	-0.0439873569	-0.0478471741	-0.0466045566	-0.0039176475	0.0481115583	-0.1550035705	-0.0098910831	0.0649547291	-0.1605227527	-0.0658565639	-0.0468907487	-0.0482382847	0.0070335739	-0.0411658993	-0.0212685706	0.0108134603	0.0909836119	-0.010608995	-0.0517251271	0.0235434303	0.009990137	-0.0994572085	-0.087006964	-0.2071150434	-0.0376765575	-0.0533466684	-0.014786996	0.0154883346	-0.0138774627	0.0163371316	0.0559412314	-0.1552790551	0.0596603151	0.0528435177	-0.0928599451	0.0999053231	-0.0791077355	-0.0097175427	0.0571794761	0.0106902374	-0.1238763895	0.1045547633	0.0504660107	-0.139904128	-0.0131986889	0.0492912965	-0.0307391917	-0.0122757823	-0.0717688955	-0.0062093523	-0.021236405	-0.0226581726	0.1104322733	-0.05526777	0.0657826809	0.0450286384	-0.0180782638	0.2775404977	-0.0183581973	-0.0099685993	0.0070645384	-0.1175696264	-0.1180781295	0.0092215097	0.1058105652	0.0761143642	-0.0028811911	0.0079723911	0.1286960354	0.0822350738	0.0044278167	-0.0410691996	0.0214510241	-0.0611518333	0.0589613934	-0.0828569108	0.0858302004	-0.0584584318	0.1283668198	-0.0714831771	-0.1250329016	0.0853587112	-0.060467736	-0.0192967039	-0.0431209701	0.0579879439	-0.0688186274	-0.0554814582	0.0246824265	-0.0375040137	-0.0621576193	0.0165284766	-0.0096702154	0.0914988526	0.0216103541	-0.0211241714	0.1210493502	0.1190563346	0.1157589128	-0.026715	-0.01734907	0.0003009902298649	0.000713691225	-0.0473685	-0.0459683	0.00211308460489	0.00224377479225	-0.040982	0.0020587	4.238245690000015e-06	0.0016795243239999	0.00141673	-0.00024163	2.0071238929e-06	5.8385056900000036e-08	-0.00175386	-0.00024958	6.229017640000006e-08	3.0760248996000005e-06	-0.000391023	-0.00050643	2.564713449e-07	1.52898986529e-07	0.0	0.0	0.0	-1.790457697	-0.7074753691	-0.06047254256	1.611138509	-0.7755124092	1.152202237	0.6226177658	1.605351761	-0.4242400488	-1.12846241	0.7026104001	-0.6524259568	0.7120044751	-0.7269845484	0.2958816541	0.4799788558
57486.54119809503	123.15770251632784	15167.819689100306	3304702418.920277	79262.86763251582	-3.6792301226378186	13.536734295325498	6282602185.329723	56946.318433310335	-160.52460198146582	3242883183.1079803	25768.147841308026	62461.27562842431	54644.75723957566	1.001756	21.189095	0.1050368999999999	0.0553107	-0.0655477199	0.107028902	-0.0236717147	-0.0337371096	-0.0293349187	-0.0903395053	-0.1252213955	0.0274475328	0.00164402	-0.0651085935	0.0380504082	0.0168188898	-0.151067051	-0.0601205041	0.0872086917	0.0678859513	-0.0539779146	-0.0055876481	-0.1121489993	-0.0663186164	0.0464175883	-0.1189287656	-0.1614023229	-0.0799305631	-0.0521261179	0.067149141	0.107173525	-0.1138666196	-0.0174624039	0.0383595486	0.1115578104	-0.1499749222	-0.1257589573	0.0758727787	-0.0445212699	-0.1320228127	-0.0252346315	0.0398596709	-0.1001696763	-0.0503496439	-0.1696672902	-0.1645372046	-0.0495305521	-0.0431039163	0.1481145838	0.0347218455	0.1036689729	-0.0477511616	0.0697783459	-0.0120646704	0.0008210858	0.0272217435	-0.0009077708	-0.0004893784	-0.132262726	-0.0388901123	0.0543501153	0.0156775363	0.0003849731	-0.1154264958	0.0197297991	0.0159859714	-0.018937422	-0.0122955787	-0.0805355739	-0.1618183668	-0.0237457884	0.0392775195	0.125053288	0.0001899988	-0.0711507725	-0.0323112972	0.1738715066	0.2595713239	0.0994232929	0.0161710877	0.0121295979	-0.0385838884	0.0240300096	-0.0943476628	0.1524266137	-0.1034875863	-0.0475923483	-0.0199824836	-0.0908647189	0.0832700469	0.01467783	0.0048313353	0.007601541	0.0567292351	-0.1634620703	-0.0883095215	0.0418715674	0.0918438833	-0.0892531952	-0.012343506	0.1057388302	0.0104677325	0.0590084075	-0.0325523523	0.1207205288	0.1177500307	0.1128532249	-0.0327311	-0.0060161	3.619345921e-05	0.0010713249072099	-0.0856003999999999	-0.0382318999999998	0.0014616781776099	0.0073274284801599	-0.0544458	-0.0134638	0.00018127391044	0.00296434513764	0.00141338	-3.349999999999837e-06	1.9976430244e-06	1.1222499999998913e-11	-0.00130185	0.00045201	2.043130401000001e-07	1.6948134225e-06	-0.0008821649999999	-0.0004911419999999	2.4122046416390175e-07	7.782150872248236e-07	0.0	0.0	0.0	-1.528408453	-0.3663771633	0.07603900213	1.32590098	0.5977291326	0.986634426	-0.01225645241	1.802912123	-0.6407882128	-0.153542242	1.36306835	0.009854349784	1.205903529	-0.6615194255	0.8598947891	0.2782203037
57638.423350922974	151.88215282794408	23068.18834765096	3322187846.380223	79550.13343881856	287.2658063027484	82521.64347076816	6328223730.13384	56946.36419311909	0.0457598087523365	3242888394.815356	0.0020939600970504	62421.83036348417	55326.461766368935	1.106143	23.397085	0.18125136	0.110108	-0.0516956682	0.0014665361	-0.0871103026	-0.1113335454	0.0098228554	-0.1065539775	-0.1368314212	-0.0286112905	0.0296272206	0.0875668475	-0.0154640504	-0.0056094196	-0.122179054	0.0225325784	0.0865864698	0.1276197882	-0.0212144548	-0.0672007383	-0.0791965999	-0.1095746014	0.0241236489	0.0847100332	-0.1229908896	0.0226379396	0.0194604775	-0.0104725704	0.0922340627	0.007253324	0.0810956075	-0.1675550876	0.0212290305	0.1317473373	-0.0707969551	-0.037824479	0.0796653179	0.0869056519	0.0634729467	0.0578948636	-0.0433835062	0.1270689841	-0.0706566212	0.0304520931	0.1979134959	-0.0385631379	0.0706184581	-0.059484939	0.0799338188	-0.034564051	0.1214573279	-0.0101448702	0.044736706	-0.0364107012	0.1166194325	0.1273194062	-0.050655488	-0.0687951056	0.1409763045	0.0294371645	0.055900362	-0.0837310835	0.1159689397	0.0422045973	-0.134269662	0.0475285625	-0.0138436219	-0.1239348862	0.1297440156	0.1128914042	-0.0165526431	0.0619352374	0.0026348539	0.0143317317	0.0350626259	0.0397927647	0.065665398	-0.0869681216	0.0165416078	-0.0117794521	0.0539954249	-0.0060976322	0.1043580797	0.0624935643	-0.1461958178	0.0121830051	-0.0810717648	0.0038412482	-0.013874585	-0.1152569452	0.0113126633	-0.0743645956	0.1244920618	-0.0811653344	-0.0507716468	-0.0814118509	-0.0832090002	-0.0675866473	0.1416703615	-0.0237789345	-0.0467082475	0.074671704	0.120326335	0.1161887065	0.1093977275	0.0302129	0.062944	0.003961947136	0.00091281932641	-0.00561724	0.0799831599999999	0.0063973058835855	3.15533852176e-05	-0.0527211	0.0017247	2.974590090000009e-06	0.00277951438521	0.00146024	4.685999999999992e-05	2.1323008576e-06	2.195859599999992e-09	-0.00147894	-0.0001770899999999	3.136086809999999e-08	2.1872635236e-06	-0.000374125	0.0005080399999999	2.581046415998984e-07	1.39969515625e-07	0.0	0.0	0.0	-1.341002948	0.6670932878	1.112665579	1.143646974	-0.3860660297	0.6944255074	0.2862180121	0.4966456641	-0.6999542688	1.119311991	0.9939942103	0.5057508547	1.165311562	-1.478345524	-0.5514911071	1.478695847
57602.00028224976	-36.42306867321168	1326.6399315734936	3317990436.5163016	80203.48966574368	653.3562269251124	426874.359261819	6432599754.563053	57028.75670347003	82.3925103509464	3252279091.143578	6788.525761930809	62675.62334808746	56341.64653389409	1.091488	23.087107	0.1524007835	0.0715516	-0.0665141958	-0.0851300887	-0.1466912879	-0.0966746098	0.0026085677	-0.0428885885	-0.0374298708	-0.1134101361	0.0356551549	0.1387592666	0.0430998851	0.026209352	-0.0021092855	0.0178916406	-0.0022084857	0.020855883	0.0273401792	-0.0310146975	-0.0903471966	0.1008923561	0.0317146376	0.1311486092	0.0952467393	0.1133480536	0.0857021706	-0.0159486429	-0.0100885227	0.0501700825	-0.1170511852	-0.0985578808	0.0362443538	-0.0108275581	-0.1515620425	-0.0266353191	-0.1130431454	-0.0618573226	-0.1726844992	0.065791735	-0.0690084164	0.1388719053	-0.1062773199	-0.0670296829	-0.1484773991	0.0385621975	-0.0342830023	-0.0428210988	-0.0097116746	-0.0120140295	0.0139201468	-0.0865890716	0.0116789964	-0.0431919078	0.1752484553	0.1075221086	0.024900822	0.0777688755	-0.0486310753	-0.0455146612	0.017046791	0.1163890615	-0.0072311582	0.0922316319	0.0256387968	-0.1300651768	0.0049889733	-0.0670411919	-0.0908327476	0.0631743972	-0.0625818073	-0.1076376191	-0.0504006693	-0.0392904534	-0.1819090219	0.1804934265	-0.0108082304	0.027392191	0.0188841478	-0.0213326442	0.0304202427	-0.0623719987	0.1022002246	0.0039188293	-0.0935516431	0.0965899306	-0.1166412137	-0.0703401463	0.0369081722	-0.0942798055	-0.0327296864	-0.1489960717	0.0326225976	-0.0230331293	0.0268283046	-0.1217041921	0.114583703	0.1564533144	-0.0379711863	0.0665794835	-0.0875028685	0.0519438928	0.1198669825	0.1143757435	0.1054092553	0.00419105	-0.02602185	0.0006771366774225	1.75649001025e-05	-0.0436096	-0.0379923599999999	0.0014434194183695	0.0019017972121599	-0.0473343	0.0053867999999999	2.901761423999997e-05	0.00224053595649	0.000491169	-0.000969071	2.41246986561e-07	9.390986030410002e-07	-0.00179932	-0.00032038	1.0264334440000006e-07	3.2375524624e-06	-3.58053e-06	0.00037054447	1.3730320424758092e-07	1.28201950809e-11	0.0	0.0	0.0	-1.132631217	1.131284667	0.970043858	1.331090426	0.5434098041	1.160976065	1.004436939	-0.3372483115	0.09919500178	1.093043475	0.9191033046	-0.2263036595	1.578278431	-0.6976597866	-1.405881114	-0.6670558682
57385.50969194191	-216.4905903078543	46868.175691843215	3293096722.6039586	80091.3660667194	-112.12359902427124	12571.70145815556	6414626918.433252	57014.72860804416	-14.02809542587056	3250679278.248929	196.78746127733052	62597.16421786221	54484.9508119979	1.486997	31.45289	0.1006762935	0.0642907	0.0184431438	-0.0835463474	-0.1316710043	-0.0661794344	0.0786374671	0.043736764	0.0239882292	-0.1273785095	-0.0062616729	0.1086202726	0.0591106564	0.0886332281	0.0929322906	0.1170263361	-0.1473832623	0.0314998304	2.22971e-05	-0.021028219	0.0403890711	0.0074055321	0.0235247231	-0.0022582091	-0.0581150385	0.0637923911	-0.1160012542	0.1012700615	0.0955424665	0.0911823834	-0.1832022854	0.0089063237	-0.0722397019	-0.0369151065	0.1430648385	-0.1297800404	0.1203932419	0.2167247417	0.0597732027	0.0800936845	0.0184390193	-0.0462105861	0.0810532073	0.0134200866	-0.1559655058	0.0871986996	0.0347188431	0.0971437936	-0.0466512913	0.0075664555	-0.0254495402	0.0062738234	0.0556356726	-0.0371409337	0.130813438	0.1306103567	0.0110416788	0.0470561357	-0.0330713599	0.0152144828	-0.1343550872	-0.1522580814	-0.0748354402	-0.0888987371	0.0108375157	0.0616474769	0.1132354463	0.0392718807	-0.0690333114	0.0063995563	-0.0695011909	0.0210957956	0.0540744717	-0.0079661174	-0.1424626407	-0.0461404288	0.1128325719	-0.0529320328	0.0333038567	-0.066074737	0.06392866	-0.0617704399	0.0903063004	0.0627811588	-0.0306371235	0.0233859017	0.0047635751	-0.011994764	-0.0544006004	-0.085670688	-0.1577238925	-0.2043169859	0.108301992	-0.1518537347	0.0547063775	-0.1008620072	0.0003635038	0.041996859	0.0828170034	-0.1537665539	0.1052776987	-0.0433094084	0.1193427198	0.112315068	0.1009072399	-0.00307967	-0.00727072	5.286336931839999e-05	9.4843673089e-06	-0.0436403	-3.070000000000156e-05	9.424900000000955e-10	0.00190447578409	-0.027071	0.0202633	0.00041060132689	0.000732839041	0.00171922	0.001228051	2.9557174084000003e-06	1.508109258601e-06	-0.00179932	0.0	0.0	3.2375524624e-06	-0.000237761	-0.0002341804699999	5.4840492529420895e-08	5.6530293121e-08	0.0	0.0	0.0	-1.50169276	1.111881376	1.155884652	2.158344824	-0.7192521687	0.7292618529	-0.03845910958	-0.8475546172	0.2604118418	0.9284570582	0.1097226688	-0.08253133183	1.208778898	-0.4300071278	-1.995142291	-0.5943247432
57291.25060295135	-94.25908899055504	8884.775857329372	3282287395.6501737	79869.95890196467	-221.4071647547389	49021.132604732105	6379210335.001525	56993.540282432965	-21.1883256111978	3248263633.925309	448.9451422061405	62638.14765910359	54882.94137760378	1.507877	31.894545	0.16390787	0.088077	0.0458694574	-0.1204527865	-0.0301814755	-0.0418543328	0.0992089545	0.0750087085	0.0673433443	-0.0739769157	-0.0432279913	0.1329200046	0.0735269306	0.0007066992	0.0224774094	0.1213867643	-0.0624975295	0.009501596	-0.04059598	-0.0197882611	0.0767030538	0.0042432406	0.0526295285	0.0373000029	-0.032200113	-0.0577839862	0.0530879014	-0.0821000592	0.0480575105	0.2098240683	-0.2185749506	0.0472381364	-0.047577838	0.0518254123	0.0750764541	0.1141770349	-0.1710370303	0.1892617108	-0.0195354858	0.0962942939	0.1189081706	-0.0520820879	-0.0101214923	-0.0263690495	0.0463596177	0.0153588818	-0.0359830499	0.0053153622	-0.0696535267	0.0490520774	-0.0250565765	0.0022703582	0.0262687313	0.0425268951	0.1241359781	0.076463332	0.0070286292	0.1016543384	0.0517943408	0.0359325727	-0.1321436162	-0.0336788539	0.0734729134	-0.0679130634	-0.1578230447	0.0004512367	-0.0626088021	0.2173906164	-0.0604048707	0.0401441241	-0.0531052676	-0.1461220862	0.0429414405	0.0687411424	-0.0495071965	-0.0383396579	0.0491884768	-0.1364466662	0.0123511045	0.0377908155	0.0680268446	-0.0239037725	0.0605453897	0.1080796976	-0.0194624669	0.0534380651	-0.0311546913	0.0614655312	-0.0422755733	-0.1161177105	-0.0763109411	-0.214730399	0.13377599	-0.082297266	0.0794598948	0.1049474269	0.0124541836	0.1489418411	-0.06391102	-0.0151598382	-0.0138074609	-0.0667648634	0.118753831	0.1100111431	0.0959136145	0.0027813	0.00586097	3.43509693409e-05	7.73562969e-06	0.0197107	0.063351	0.004013349201	0.00038851169449	-0.0815122	-0.0544412	0.00296384425744	0.00664423874884	0.00193798	0.0002187599999999	3.7557664804e-06	4.785593759999996e-08	-0.00224929	-0.00044997	2.0247300090000005e-07	5.0593055041e-06	-0.000374125	-0.000136364	1.8595140496e-08	1.39969515625e-07	0.0	0.0	0.0	-1.905786994	0.2935843553	0.6433042427	0.9283026845	-0.1387585646	0.1182084822	0.09793666902	-0.9638991677	-0.2286951309	0.3130516031	-0.05450826116	-0.3591373127	1.627080063	0.685686748	-1.435643889	-1.443122724
